Criterion ID,Parent ID,Category
1021,35,/Arts & Entertainment/Music & Audio/Pop Music
215,35,/Arts & Entertainment/Music & Audio/Radio
1186,215,/Arts & Entertainment/Music & Audio/Radio/Talk Radio
1020,35,/Arts & Entertainment/Music & Audio/Religious Music
585,1020,/Arts & Entertainment/Music & Audio/Religious Music/Christian & Gospel Music
590,35,/Arts & Entertainment/Music & Audio/Rock Music
1037,590,/Arts & Entertainment/Music & Audio/Rock Music/Classic Rock & Oldies
1035,590,/Arts & Entertainment/Music & Audio/Rock Music/Hard Rock & Progressive
1038,590,/Arts & Entertainment/Music & Audio/Rock Music/Indie & Alternative Music
1036,590,/Arts & Entertainment/Music & Audio/Rock Music/Metal (Music)
1041,590,/Arts & Entertainment/Music & Audio/Rock Music/Punk (Music)
893,35,/Arts & Entertainment/Music & Audio/Soundtracks
592,35,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop
1030,592,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Rap & Hip-Hop
1242,592,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Reggaeton
1039,592,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Soul & R&B
618,35,/Arts & Entertainment/Music & Audio/Vocals & Show Tunes
593,35,/Arts & Entertainment/Music & Audio/World Music
1208,593,/Arts & Entertainment/Music & Audio/World Music/African Music
1034,593,/Arts & Entertainment/Music & Audio/World Music/Arab & Middle Eastern Music
1033,593,/Arts & Entertainment/Music & Audio/World Music/East Asian Music
591,593,/Arts & Entertainment/Music & Audio/World Music/Latin American Music
1287,591,/Arts & Entertainment/Music & Audio/World Music/Latin American Music/Brazilian Music
1285,591,/Arts & Entertainment/Music & Audio/World Music/Latin American Music/Latin Pop
1286,591,/Arts & Entertainment/Music & Audio/World Music/Latin American Music/Salsa & Tropical Music
1031,593,/Arts & Entertainment/Music & Audio/World Music/Reggae & Caribbean Music
1032,593,/Arts & Entertainment/Music & Audio/World Music/South Asian Music
1806,593,/Arts & Entertainment/Music & Audio/World Music/Southeast Asian Music
33,3,/Arts & Entertainment/Offbeat
538,33,/Arts & Entertainment/Offbeat/Edgy & Bizarre
449,33,/Arts & Entertainment/Offbeat/Occult & Paranormal
613,3,/Arts & Entertainment/Online Media
1222,613,/Arts & Entertainment/Online Media/Online Image Galleries
575,613,/Arts & Entertainment/Online Media/Virtual Tours
23,3,/Arts & Entertainment/Performing Arts
894,23,/Arts & Entertainment/Performing Arts/Acting & Theater
1243,23,/Arts & Entertainment/Performing Arts/Broadway & Musical Theater
1591,23,/Arts & Entertainment/Performing Arts/Circus
581,23,/Arts & Entertainment/Performing Arts/Dance
1592,23,/Arts & Entertainment/Performing Arts/Magic
1185,23,/Arts & Entertainment/Performing Arts/Opera
36,3,/Arts & Entertainment/TV & Video
211,36,/Arts & Entertainment/TV & Video/Online Video
1780,211,/Arts & Entertainment/TV & Video/Online Video/Live Video Streaming
1781,211,/Arts & Entertainment/TV & Video/Online Video/Movie & TV Streaming
1782,211,/Arts & Entertainment/TV & Video/Online Video/Video Blogs
1409,211,/Arts & Entertainment/TV & Video/Online Video/Web Series
1055,36,/Arts & Entertainment/TV & Video/TV Commercials
1187,36,/Arts & Entertainment/TV & Video/TV Guides & Reference
359,36,/Arts & Entertainment/TV & Video/TV Networks & Stations
358,36,/Arts & Entertainment/TV & Video/TV Shows & Programs
1047,358,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Comedies
1411,358,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Documentary & Nonfiction
1193,358,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas
1111,1193,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas/TV Crime & Legal Shows
1194,1193,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas/TV Medical Shows
357,1193,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas/TV Soap Operas
1110,358,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Family-Oriented Shows
1050,358,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Game Shows
1049,358,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Reality Shows
1112,358,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Sci-Fi & Fantasy Shows
1410,358,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Talent & Variety Shows
1048,358,/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Talk Shows
24,3,/Arts & Entertainment/Visual Art & Design
477,24,/Arts & Entertainment/Visual Art & Design/Architecture
1521,24,/Arts & Entertainment/Visual Art & Design/Art Museums & Galleries
653,24,/Arts & Entertainment/Visual Art & Design/Design
654,653,/Arts & Entertainment/Visual Art & Design/Design/Graphic Design
655,653,/Arts & Entertainment/Visual Art & Design/Design/Industrial & Product Design
656,653,/Arts & Entertainment/Visual Art & Design/Design/Interior Design
1167,24,/Arts & Entertainment/Visual Art & Design/Painting
439,24,/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts
1412,24,/Arts & Entertainment/Visual Art & Design/Sculpture
1195,24,/Arts & Entertainment/Visual Art & Design/Visual Arts & Design Education
47,0,/Autos & Vehicles
1191,47,/Autos & Vehicles/Bicycles & Accessories
1402,1191,/Autos & Vehicles/Bicycles & Accessories/BMX Bikes
1398,1191,/Autos & Vehicles/Bicycles & Accessories/Bike Accessories
1399,1191,/Autos & Vehicles/Bicycles & Accessories/Bike Frames
1400,1191,/Autos & Vehicles/Bicycles & Accessories/Bike Helmets & Protective Gear
1401,1191,/Autos & Vehicles/Bicycles & Accessories/Bike Parts & Repair
1403,1191,/Autos & Vehicles/Bicycles & Accessories/Cruiser Bicycles
1404,1191,/Autos & Vehicles/Bicycles & Accessories/Kids' Bikes
1405,1191,/Autos & Vehicles/Bicycles & Accessories/Mountain Bikes
1406,1191,/Autos & Vehicles/Bicycles & Accessories/Road Bikes
1140,47,/Autos & Vehicles/Boats & Watercraft
1213,47,/Autos & Vehicles/Campers & RVs
1013,47,/Autos & Vehicles/Classic Vehicles
1214,47,/Autos & Vehicles/Commercial Vehicles
1215,1214,/Autos & Vehicles/Commercial Vehicles/Cargo Trucks & Trailers
806,47,/Autos & Vehicles/Custom & Performance Vehicles
815,47,/Autos & Vehicles/Motor Vehicles (By Brand)
821,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Audi
822,815,/Autos & Vehicles/Motor Vehicles (By Brand)/BMW
1059,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Bentley
1060,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Buick
823,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Cadillac
826,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Chevrolet
833,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Chrysler
834,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Citroën
896,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Daewoo Motors
836,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Dodge
1061,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Ferrari
838,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Fiat
1413,838,/Autos & Vehicles/Motor Vehicles (By Brand)/Fiat/Alfa Romeo
840,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Ford
842,815,/Autos & Vehicles/Motor Vehicles (By Brand)/GMC
843,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Honda
820,843,/Autos & Vehicles/Motor Vehicles (By Brand)/Honda/Acura
1062,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Hummer
845,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Hyundai
1378,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Isuzu
1063,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Jaguar
846,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Jeep
848,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Kia
1064,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Lamborghini
1065,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Land Rover
850,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Lincoln
1066,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Maserati
851,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Mazda
852,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Mercedes-Benz
853,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Mercury
1067,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Mini
854,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Mitsubishi
855,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Nissan
1377,855,/Autos & Vehicles/Motor Vehicles (By Brand)/Nissan/Infiniti
856,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Peugeot
857,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Pontiac
858,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Porsche
1783,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Ram Trucks
859,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Renault
1068,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Rolls-Royce
1414,815,/Autos & Vehicles/Motor Vehicles (By Brand)/SEAT
897,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Saab
860,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Saturn
1886,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Skoda
861,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Subaru
1070,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Suzuki
1784,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Tesla Motors
863,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Toyota
849,863,/Autos & Vehicles/Motor Vehicles (By Brand)/Toyota/Lexus
1069,863,/Autos & Vehicles/Motor Vehicles (By Brand)/Toyota/Scion
898,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Vauxhall-Opel
865,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Volkswagen
867,815,/Autos & Vehicles/Motor Vehicles (By Brand)/Volvo
1684,47,/Autos & Vehicles/Motor Vehicles (By Type)
1698,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Compact Cars
1689,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Convertibles
1690,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Coupes
1691,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Diesel Vehicles
1692,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Hatchbacks
810,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Hybrid & Alternative Vehicles
1380,810,/Autos & Vehicles/Motor Vehicles (By Type)/Hybrid & Alternative Vehicles/Electric & Plug-In Vehicles
1693,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Luxury Vehicles
1317,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Microcars & Subcompacts
273,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Motorcycles
148,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Off-Road Vehicles
1212,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Scooters & Mopeds
1694,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Sedans
1695,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Sports Cars
1696,1684,/Autos & Vehicles/Motor Vehicles (By Type)/Station Wagons
610,1684,"/Autos & Vehicles/Motor Vehicles (By Type)/Trucks, Vans & SUVs"
1056,610,"/Autos & Vehicles/Motor Vehicles (By Type)/Trucks, Vans & SUVs/Pickup Trucks"
1057,610,"/Autos & Vehicles/Motor Vehicles (By Type)/Trucks, Vans & SUVs/SUVs & Crossovers"
1697,1057,"/Autos & Vehicles/Motor Vehicles (By Type)/Trucks, Vans & SUVs/SUVs & Crossovers/Crossovers"
1058,610,"/Autos & Vehicles/Motor Vehicles (By Type)/Trucks, Vans & SUVs/Vans & Minivans"
1147,47,/Autos & Vehicles/Personal Aircraft
1294,47,/Autos & Vehicles/Vehicle Codes & Driving Laws
968,1294,/Autos & Vehicles/Vehicle Codes & Driving Laws/Drunk Driving Law
1416,1294,/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle & Traffic Safety
170,1294,/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration
1415,170,/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration/Driving Instruction & Driver Education
1685,47,/Autos & Vehicles/Vehicle Parts & Services
1268,1685,/Autos & Vehicles/Vehicle Parts & Services/Gas Prices & Vehicle Fueling
1807,1685,/Autos & Vehicles/Vehicle Parts & Services/Towing & Roadside Assistance
1688,1685,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Modification & Tuning
89,1685,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories
1751,89,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Auto Batteries
1750,89,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Auto Brakes
1217,89,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Auto Exterior
1218,89,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Auto Interior
1703,89,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Automotive Electronic Components
1216,89,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Engine & Transmission
1749,89,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/High Performance & Aftermarket Auto Parts
1269,89,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Vehicle Fuels & Lubricants
438,89,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Vehicle Wheels & Tires
138,1685,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance
1702,138,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance/Auto Glass Repair & Replacement
1700,138,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance/Brake Service & Repair
1701,138,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance/Collision & Auto Body Repair
1748,138,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance/Oil Changes
1747,138,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance/Transmission Repair & Maintenance
473,47,/Autos & Vehicles/Vehicle Shopping
1686,473,/Autos & Vehicles/Vehicle Shopping/Used Vehicles
1687,473,/Autos & Vehicles/Vehicle Shopping/Vehicle Dealers & Retailers
1267,473,"/Autos & Vehicles/Vehicle Shopping/Vehicle Specs, Reviews & Comparisons"
803,47,/Autos & Vehicles/Vehicle Shows
44,0,/Beauty & Fitness
1219,44,/Beauty & Fitness/Beauty Pageants
145,44,/Beauty & Fitness/Beauty Services & Spas
1220,145,/Beauty & Fitness/Beauty Services & Spas/Cosmetic Procedures
1885,1220,/Beauty & Fitness/Beauty Services & Spas/Cosmetic Procedures/Cosmetic Dentistry
1774,145,/Beauty & Fitness/Beauty Services & Spas/Manicures & Pedicures
557,145,/Beauty & Fitness/Beauty Services & Spas/Massage Therapy
239,44,/Beauty & Fitness/Body Art
147,44,/Beauty & Fitness/Cosmetology & Beauty Professionals
143,44,/Beauty & Fitness/Face & Body Care
244,143,/Beauty & Fitness/Face & Body Care/Hygiene & Toiletries
1808,244,"/Beauty & Fitness/Face & Body Care/Hygiene & Toiletries/Antiperspirants, Deodorants & Body Sprays"
1809,244,/Beauty & Fitness/Face & Body Care/Hygiene & Toiletries/Feminine Hygiene Products
1810,244,/Beauty & Fitness/Face & Body Care/Hygiene & Toiletries/Hand & Body Soaps
1811,244,/Beauty & Fitness/Face & Body Care/Hygiene & Toiletries/Toothbrushes
1812,244,/Beauty & Fitness/Face & Body Care/Hygiene & Toiletries/Toothpaste
234,143,/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics
1766,234,/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics/Eye Makeup
1767,234,/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics/Face Makeup
1768,234,/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics/Lip Makeup
242,143,/Beauty & Fitness/Face & Body Care/Perfumes & Fragrances
93,143,/Beauty & Fitness/Face & Body Care/Skin & Nail Care
1765,93,/Beauty & Fitness/Face & Body Care/Skin & Nail Care/Bath & Body Products
1771,93,/Beauty & Fitness/Face & Body Care/Skin & Nail Care/Face Care Products
1813,1771,/Beauty & Fitness/Face & Body Care/Skin & Nail Care/Face Care Products/Acne & Blemish Treatments
1775,1771,/Beauty & Fitness/Face & Body Care/Skin & Nail Care/Face Care Products/Anti-Aging Skin Care Products
1777,1771,/Beauty & Fitness/Face & Body Care/Skin & Nail Care/Face Care Products/Face Cleansers & Makeup Removers
1776,1771,/Beauty & Fitness/Face & Body Care/Skin & Nail Care/Face Care Products/Face Lotions & Moisturizers
1770,93,/Beauty & Fitness/Face & Body Care/Skin & Nail Care/Nail Care Products
1772,143,/Beauty & Fitness/Face & Body Care/Sun Care & Tanning Products
144,143,/Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal
1814,144,/Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal/Razors & Shavers
185,44,/Beauty & Fitness/Fashion & Style
98,185,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections
1155,185,/Beauty & Fitness/Fashion & Style/Fashion Modeling
94,44,/Beauty & Fitness/Fitness
241,94,/Beauty & Fitness/Fitness/Bodybuilding
1417,94,/Beauty & Fitness/Fitness/Fitness Equipment & Accessories
1762,1417,/Beauty & Fitness/Fitness/Fitness Equipment & Accessories/Cardio Training Equipment
1763,1417,/Beauty & Fitness/Fitness/Fitness Equipment & Accessories/Fitness Technology Products
1764,1417,/Beauty & Fitness/Fitness/Fitness Equipment & Accessories/Weights & Strength Training Equipment
1418,94,/Beauty & Fitness/Fitness/Fitness Instruction & Personal Training
1419,94,/Beauty & Fitness/Fitness/Gyms & Health Clubs
1815,94,/Beauty & Fitness/Fitness/High Intensity Interval Training
611,94,/Beauty & Fitness/Fitness/Yoga & Pilates
146,44,/Beauty & Fitness/Hair Care
235,146,/Beauty & Fitness/Hair Care/Hair Loss
1816,146,/Beauty & Fitness/Hair Care/Shampoos & Conditioners
236,44,/Beauty & Fitness/Weight Loss
22,0,/Books & Literature
1883,22,/Books & Literature/Audiobooks
355,22,/Books & Literature/Book Retailers
1183,22,/Books & Literature/Children's Literature
608,22,/Books & Literature/E-Books
540,22,/Books & Literature/Fan Fiction
1184,22,/Books & Literature/Literary Classics
412,22,/Books & Literature/Magazines
565,22,/Books & Literature/Poetry
1177,22,/Books & Literature/Writers Resources
12,0,/Business & Industrial
25,12,/Business & Industrial/Advertising & Marketing
1548,25,/Business & Industrial/Advertising & Marketing/Brand Management
83,25,/Business & Industrial/Advertising & Marketing/Marketing
1743,83,/Business & Industrial/Advertising & Marketing/Marketing/Direct Mail Marketing
1744,83,/Business & Industrial/Advertising & Marketing/Marketing/Email Marketing
1420,25,/Business & Industrial/Advertising & Marketing/Promotional Products & Corporate Gifts
327,25,/Business & Industrial/Advertising & Marketing/Public Relations
1547,25,/Business & Industrial/Advertising & Marketing/Sales
328,25,/Business & Industrial/Advertising & Marketing/Telemarketing
356,12,/Business & Industrial/Aerospace & Defense
662,356,/Business & Industrial/Aerospace & Defense/Aviation Industry
669,356,/Business & Industrial/Aerospace & Defense/Defense Industry
668,356,/Business & Industrial/Aerospace & Defense/Space Technology
46,12,/Business & Industrial/Agriculture & Forestry
748,46,/Business & Industrial/Agriculture & Forestry/Agricultural Equipment
747,46,/Business & Industrial/Agriculture & Forestry/Aquaculture
749,46,/Business & Industrial/Agriculture & Forestry/Crops & Seed
1578,46,/Business & Industrial/Agriculture & Forestry/Farms & Ranches
621,46,/Business & Industrial/Agriculture & Forestry/Food Production
750,46,/Business & Industrial/Agriculture & Forestry/Forestry
751,46,/Business & Industrial/Agriculture & Forestry/Horticulture
752,46,/Business & Industrial/Agriculture & Forestry/Livestock
1190,12,/Business & Industrial/Automotive Industry
799,12,/Business & Industrial/Business Education
1138,12,/Business & Industrial/Business Finance
1160,1138,/Business & Industrial/Business Finance/Commercial Lending
1139,1138,/Business & Industrial/Business Finance/Investment Banking
620,1138,/Business & Industrial/Business Finance/Risk Management
905,1138,/Business & Industrial/Business Finance/Venture Capital
1159,12,/Business & Industrial/Business Operations
336,1159,/Business & Industrial/Business Operations/Business Plans & Presentations
157,1159,/Business & Industrial/Business Operations/Human Resources
723,157,/Business & Industrial/Business Operations/Human Resources/Compensation & Benefits
331,157,/Business & Industrial/Business Operations/Human Resources/Corporate Training
724,157,/Business & Industrial/Business Operations/Human Resources/Payroll Services
330,157,/Business & Industrial/Business Operations/Human Resources/Recruitment & Staffing
338,1159,/Business & Industrial/Business Operations/Management
721,338,/Business & Industrial/Business Operations/Management/Business Process
1360,338,/Business & Industrial/Business Operations/Management/Project Management
722,338,/Business & Industrial/Business Operations/Management/Strategic Planning
801,338,/Business & Industrial/Business Operations/Management/Supply Chain Management
329,12,/Business & Industrial/Business Services
664,329,/Business & Industrial/Business Services/Commercial Distribution
1162,329,/Business & Industrial/Business Services/Consulting
334,329,/Business & Industrial/Business Services/Corporate Events
335,334,/Business & Industrial/Business Services/Corporate Events/Trade Fairs & Industry Shows
340,329,/Business & Industrial/Business Services/E-Commerce Services
280,340,/Business & Industrial/Business Services/E-Commerce Services/Merchant Services & Payment Systems
726,329,/Business & Industrial/Business Services/Fire & Security Services
800,329,/Business & Industrial/Business Services/Knowledge Management
28,329,/Business & Industrial/Business Services/Office Services
337,28,/Business & Industrial/Business Services/Office Services/Office & Facilities Management
95,329,/Business & Industrial/Business Services/Office Supplies
333,95,/Business & Industrial/Business Services/Office Supplies/Office Furniture
1866,333,/Business & Industrial/Business Services/Office Supplies/Office Furniture/Office & Computer Desks
1867,333,/Business & Industrial/Business Services/Office Supplies/Office Furniture/Office Chairs
718,329,/Business & Industrial/Business Services/Outsourcing
719,329,/Business & Industrial/Business Services/Physical Asset Management
720,329,/Business & Industrial/Business Services/Quality Control & Tracking
1892,329,/Business & Industrial/Business Services/Shared Workspaces
1076,329,/Business & Industrial/Business Services/Signage
1426,329,/Business & Industrial/Business Services/Warehousing
725,329,/Business & Industrial/Business Services/Writing & Editing Services
288,12,/Business & Industrial/Chemicals Industry
